Date;Session;Voter;value
2020-09-23;1;1;23
2020-09-23;1;2;35
2020-09-23;1;3;35
2020-09-23;1;4;21
2020-09-23;1;5;32
2020-09-23;1;6;34
2020-09-23;1;7;17
2020-09-23;1;8;41
2020-09-23;1;9;35
2020-09-23;1;10;35
2020-09-23;1;11;31
2020-09-23;1;12;32
2020-09-23;1;13;36
2020-09-23;1;14;32
2020-09-23;1;15;42
2020-09-23;1;16;33
2020-09-23;1;17;35
2020-09-23;1;18;35
2020-09-23;1;19;27
2020-09-23;1;20;17
2020-09-23;1;21;26
2020-09-23;1;22;38
2020-09-23;1;23;38
2020-09-23;1;24;34
2020-09-23;1;25;32
2020-09-23;1;26;35
2020-09-23;1;27;35
2020-09-23;1;28;33
