ID,accuracy,x,y
0,65.617154,2678971.0,1240824.0
1,257.492052,2679837.0,1240858.0
2,163.533834,2687539.0,1240881.0
3,185.0,2674848.0,1240913.0
4,228.215231,2681771.0,1240922.0
5,257.492053,2690119.0,1240932.0
6,17.951638,2678477.0,1240956.0
7,287.211395,2687505.0,1241029.0
8,301.748542,2681288.0,1241081.0
9,301.748542,2681268.0,1241111.0
10,301.748542,2681224.0,1241130.0
11,257.492053,2673787.0,1241139.0
12,301.748542,2681279.0,1241158.0
13,21.469299,2674355.0,1241208.0
14,354.947264,2681591.0,1241228.0
15,301.748542,2681267.0,1241264.0
16,375.193894,2674041.0,1241267.0
17,301.748542,2682836.0,1241336.0
18,301.748542,2688417.0,1241369.0
19,301.748542,2686871.0,1241413.0
20,148.1677,2691514.0,1241415.0
21,53.710097,2686776.0,1241421.0
22,13.0,2674948.0,1241451.0
23,301.748542,2688343.0,1241453.0
24,66.081731,2674083.0,1241533.0
25,257.229012,2679547.0,1241557.0
26,333.130408,2686716.0,1241563.0
27,21.407625,2679701.0,1241572.0
28,37.392363,2679311.0,1241606.0
29,257.492052,2679792.0,1241683.0
30,257.492053,2679780.0,1241686.0
31,257.492053,2679777.0,1241690.0
32,257.492052,2679772.0,1241702.0
33,301.748529,2678973.0,1241720.0
34,301.748542,2678121.0,1241736.0
35,39.615709,2679756.0,1241775.0
36,49.0,2691982.0,1241822.0
37,10.137199,2679775.0,1241822.0
38,56.0,2691979.0,1241824.0
39,110.0,2679807.0,1241893.0
40,76.0,2678555.0,1242005.0
41,15.0,2678120.0,1242026.0
42,91.880936,2691736.0,1242030.0
43,301.748542,2678523.0,1242037.0
44,188.379479,2678660.0,1242044.0
45,301.748542,2679593.0,1242044.0
46,444.630282,2687310.0,1242062.0
47,16.093253,2678860.0,1242080.0
48,305.25474,2679319.0,1242084.0
49,238.0,2681539.0,1242103.0
50,257.492053,2681156.0,1242104.0
51,301.748542,2679347.0,1242118.0
52,70.399073,2680266.0,1242128.0
53,70.135999,2681296.0,1242131.0
54,42.868561,2681718.0,1242173.0
55,246.726581,2688310.0,1242184.0
56,88.495621,2678707.0,1242185.0
57,228.0,2679332.0,1242201.0
58,301.748542,2688122.0,1242206.0
59,448.738763,2678833.0,1242254.0
60,301.748542,2688098.0,1242291.0
61,181.084706,2680512.0,1242298.0
62,413.0,2676166.0,1242335.0
63,301.748542,2688798.0,1242369.0
64,64.0,2676147.0,1242379.0
65,52.646157,2688371.0,1242401.0
66,136.711029,2679148.0,1242452.0
67,60.0,2678457.0,1242529.0
68,13.0,2678480.0,1242529.0
69,9.0,2678480.0,1242530.0
70,20.0,2678482.0,1242530.0
71,7.0,2678483.0,1242530.0
72,63.0,2678460.0,1242531.0
73,31.0,2678465.0,1242531.0
74,12.0,2678479.0,1242531.0
75,15.0,2678446.0,1242532.0
76,33.0,2678458.0,1242532.0
77,41.0,2678458.0,1242532.0
78,32.0,2678458.0,1242532.0
79,12.0,2678480.0,1242532.0
80,34.0,2678483.0,1242535.0
81,24.0,2678481.0,1242537.0
82,207.485178,2678901.0,1242541.0
83,28.485502,2689277.0,1242585.0
84,18.859284,2688195.0,1242592.0
85,43.25916,2689254.0,1242592.0
86,330.0,2681366.0,1242662.0
87,62.682789,2687121.0,1242671.0
88,257.492053,2690322.0,1242672.0
89,257.492053,2690315.0,1242674.0
90,257.492053,2690316.0,1242674.0
91,301.748542,2688022.0,1242692.0
92,93.267086,2691461.0,1242699.0
93,378.0,2681320.0,1242704.0
94,301.748542,2678503.0,1242711.0
95,103.410357,2678872.0,1242779.0
96,11.560023,2678610.0,1242807.0
97,21.0,2678607.0,1242808.0
98,17.0,2678609.0,1242809.0
99,118.0,2678616.0,1242819.0
100,18.859284,2675919.0,1242847.0
101,155.072695,2690002.0,1242865.0
102,98.0,2690891.0,1242916.0
103,406.481989,2688251.0,1242981.0
104,137.0,2681130.0,1243026.0
105,31.289779,2690249.0,1243139.0
106,91.913929,2686424.0,1243178.0
107,261.685934,2675001.0,1243184.0
108,231.010857,2674891.0,1243204.0
109,257.492053,2680508.0,1243224.0
110,301.748542,2681991.0,1243227.0
111,196.05103,2676096.0,1243238.0
112,372.0,2680541.0,1243242.0
113,420.0,2680568.0,1243242.0
114,160.0,2680512.0,1243247.0
115,408.0,2680555.0,1243247.0
116,304.481363,2676190.0,1243251.0
117,167.212762,2680473.0,1243253.0
118,395.0,2680541.0,1243258.0
119,40.124726,2689359.0,1243259.0
120,385.637095,2681174.0,1243259.0
121,406.0,2680564.0,1243260.0
122,171.0,2680483.0,1243275.0
123,370.0,2680534.0,1243278.0
124,406.895367,2678173.0,1243297.0
125,236.0,2680425.0,1243299.0
126,289.0,2688121.0,1243301.0
127,289.0,2688121.0,1243301.0
128,33.341328,2675692.0,1243301.0
129,52.155432,2675689.0,1243303.0
130,20.065129,2689351.0,1243317.0
131,306.459561,2680462.0,1243323.0
132,134.969248,2688738.0,1243345.0
133,443.0,2682030.0,1243360.0
134,71.410732,2688494.0,1243362.0
135,74.881979,2675941.0,1243383.0
136,333.13041,2675675.0,1243383.0
137,341.712197,2689655.0,1243389.0
138,257.492052,2678621.0,1243402.0
139,94.539994,2674236.0,1243425.0
140,130.635493,2688651.0,1243429.0
141,249.711703,2680972.0,1243441.0
142,45.0,2680354.0,1243454.0
143,50.931558,2686733.0,1243608.0
144,333.130408,2683078.0,1243634.0
145,333.130408,2687849.0,1243643.0
146,297.250868,2678622.0,1243643.0
147,301.748529,2679431.0,1243664.0
148,301.748542,2678644.0,1243666.0
149,53.0,2673914.0,1243681.0
150,97.0,2673917.0,1243681.0
151,368.544389,2679802.0,1243689.0
152,297.463059,2690988.0,1243703.0
153,257.492053,2677444.0,1243715.0
154,248.231509,2687407.0,1243738.0
155,50.031952,2678440.0,1243785.0
156,84.0,2678473.0,1243787.0
157,301.748542,2682204.0,1243788.0
158,80.82281,2674452.0,1243794.0
159,40.647068,2682233.0,1243815.0
160,271.588724,2673504.0,1243824.0
161,186.041902,2674101.0,1243828.0
162,257.492053,2683149.0,1243831.0
163,7.0,2688867.0,1243842.0
164,15.0,2679021.0,1243844.0
165,42.905008,2681015.0,1243850.0
166,301.748542,2682699.0,1243888.0
167,198.0,2680945.0,1243975.0
168,42.0,2675836.0,1244007.0
169,301.748529,2678933.0,1244015.0
170,301.748542,2689794.0,1244039.0
171,257.492053,2687591.0,1244060.0
172,16.093252,2679829.0,1244083.0
173,322.842225,2686961.0,1244152.0
174,257.492053,2677519.0,1244168.0
